xAcc,yAcc,zAcc
-0.697598,-0.195488,9.692574
-0.710838,-0.20739,9.697334
-0.708458,-0.162014,9.679333
-0.72155,-0.165585,9.673382
-0.702358,-0.178677,9.675762
-0.664124,-0.194298,9.710575
-0.668884,-0.196678,9.681862
-0.698788,-0.182396,9.684242
-0.731071,-0.154724,9.657909
-0.708309,-0.152344,9.692574
-0.712029,-0.187157,9.684242
-0.690456,-0.21349,9.681862
-0.702358,-0.184776,9.678143
-0.695217,-0.159634,9.700905
-0.703548,-0.160824,9.671001
-0.702358,-0.171535,9.667431
-0.681976,-0.205009,9.672192
-0.702358,-0.21349,9.678143
-0.692837,-0.162014,9.685432
-0.699978,-0.152344,9.665051
-0.703548,-0.163204,9.683052
-0.707119,-0.183586,9.678143
-0.685696,-0.184776,9.691383
-0.715599,-0.191917,9.685432
-0.704739,-0.169155,9.681862
-0.688076,-0.169155,9.697334
-0.739552,-0.202629,9.66148
-0.72274,-0.187157,9.656719
-0.728691,-0.175106,9.698524
-0.699978,-0.178677,9.674572
-0.739552,-0.167965,9.693764
-0.685696,-0.160824,9.690193
-0.677216,-0.2062,9.709385
-0.728691,-0.20858,9.681862
-0.697598,-0.182247,9.684242
-0.685696,-0.158443,9.687813
-0.708309,-0.195488,9.672192
-0.709648,-0.199059,9.678143
-0.691647,-0.177486,9.686623
-0.685696,-0.183586,9.678143
-0.755024,-0.183586,9.673382
-0.694027,-0.173916,9.691383
-0.671265,-0.172726,9.687813
-0.695217,-0.220631,9.698524
-0.696407,-0.172726,9.694954
-0.684505,-0.141632,9.697334
-0.71917,-0.191917,9.675762
-0.731071,-0.194298,9.671001
-0.72393,-0.189537,9.678143
-0.684505,-0.171535,9.681862
-0.715599,-0.189537,9.675762
-0.679596,-0.172726,9.684242
-0.699978,-0.176296,9.705666
-0.72274,-0.191917,9.671001
-0.740742,-0.184776,9.676952
-0.668884,-0.189537,9.686623
-0.658024,-0.167965,9.712955
-0.688076,-0.184776,9.692574
-0.696407,-0.183586,9.697334
-0.710838,-0.167965,9.66267
-0.696407,-0.172726,9.680672
-0.676025,-0.195488,9.66267
-0.666504,-0.21944,9.668621
-0.685696,-0.172726,9.685432
-0.750263,-0.169155,9.676952
-0.747883,-0.173916,9.678143
-0.707119,-0.181057,9.692574
-0.678406,-0.193108,9.703285
-0.680786,-0.183586,9.687813
-0.659214,-0.147583,9.693764
-0.694027,-0.167965,9.681862
-0.728691,-0.199059,9.676952
-0.731071,-0.200249,9.671001
-0.680786,-0.191917,9.685432
-0.680786,-0.178677,9.680672
-0.673645,-0.151154,9.686623
-0.671265,-0.178677,9.694954
-0.72393,-0.194298,9.689003
-0.751453,-0.201439,9.672192
-0.712029,-0.182396,9.690193
-0.673645,-0.163204,9.686623
-0.683167,-0.185966,9.679482
-0.686886,-0.171535,9.687813
-0.72155,-0.203819,9.700905
-0.72393,-0.191917,9.702095
-0.729881,-0.157253,9.672192
-0.678406,-0.163204,9.696144
-0.686886,-0.197868,9.690193
-0.688076,-0.165585,9.678143
-0.692837,-0.190727,9.696144
-0.708309,-0.20739,9.686623
-0.728691,-0.151154,9.687813
-0.72274,-0.177486,9.684242
-0.674835,-0.171535,9.683052
-0.660553,-0.170345,9.588432
-0.830452,-0.2062,9.489052
-0.743122,-0.115299,9.730808
-1.270969,-0.284008,9.807426
-3.525181,0.201885,9.533386
0.688671,-0.609673,9.66029
0.810814,-0.452866,9.801476
1.258472,-0.609673,9.575191
2.129986,0.931023,9.570431
0.048203,1.061497,9.744049
-0.571884,-0.515053,9.742859
-0.53484,-0.346344,9.735718
-0.563553,-0.567719,9.970333
-0.357651,-0.839527,9.982235
-1.299683,-0.794003,10.111519
-2.571098,-0.715004,10.459946
-3.108616,-0.2062,10.074474
-3.503609,-0.861099,9.698524
-2.064674,-1.243,12.067589
-0.63422,-0.607292,13.279049
-0.174511,-0.419392,13.592663
-0.518028,0.175701,13.713615
-1.134544,0.155319,12.552441
-1.901917,-0.677959,11.263172
-2.639385,-1.453663,10.555607
-2.343624,-1.452473,9.985806
-1.688725,-1.314709,9.924809
-1.797775,-0.937717,10.068523
-2.377098,-0.662338,10.139042
-2.740997,-0.445724,10.50547
-2.441814,-0.367916,10.452656
-2.197529,-0.140442,10.401329
-2.053963,-0.111729,10.050522
-2.447765,-0.259014,9.765621
-2.709904,-0.4911,9.079628
-2.750668,-0.267345,8.45359
-2.654858,-0.12006,8.030926
-2.313721,-0.146393,7.714931
-2.381859,-0.182247,7.627602
-2.620193,0.030796,7.430031
-2.160484,0.3456,7.384506
-2.247814,0.355122,7.23008
-3.002094,0.253361,6.802803
-3.192375,0.180462,6.136002
-2.556667,0.176891,5.446438
-1.65287,0.225838,5.266869
-1.594254,0.185223,5.65591
-1.145256,0.360031,6.343094
-1.974964,0.06665,7.121178
